"","METRO_ID","fiftyFollowers","sixtyFollowers","seventyFollowers","eightyFollowers","hundredFollowers"
"1","Aachen",8,6,4,2,0
"2","Akron",2,1,1,1,1
"3","Albany",2,2,1,1,1
"4","Albuquerque",6,5,4,3,3
"5","Amsterdam",63,54,45,41,29
"6","Antwerp",3,3,3,3,2
"7","Atlanta",37,30,24,20,15
"8","Augsburg",3,0,0,0,0
"9","Austin",104,85,67,55,40
"10","Baltimore",24,19,16,12,9
"11","Barcelona",33,27,20,14,11
"12","Bari",0,0,0,0,0
"13","Berlin",195,148,124,98,72
"14","Bilbao",2,2,2,1,1
"15","Bochum",1,1,1,0,0
"16","Bologna",0,0,0,0,0
"17","Bonn",1,0,0,0,0
"18","Bordeaux",6,2,2,1,1
"19","Boston",94,75,65,55,44
"20","Bremen",2,2,2,2,1
"21","Brussels",6,4,3,2,2
"22","Buffalo",7,6,4,4,4
"23","Catania",0,0,0,0,0
"24","Charleston",9,8,6,4,3
"25","Charlotte",11,10,9,7,6
"26","Chicago",105,85,78,72,59
"27","Cincinnati",11,9,7,7,5
"28","Cleveland",11,11,10,7,4
"29","Cologne",17,13,9,8,7
"30","Columbia",15,13,10,9,8
"31","Columbus",12,11,8,7,7
"32","Copenhagen",25,21,18,15,11
"33","Dallas",25,20,19,15,13
"34","Dayton",1,0,0,0,0
"35","Denver",45,40,36,30,26
"36","Detroit",4,3,3,2,1
"37","Dortmund",0,0,0,0,0
"38","Dresden",5,5,3,3,3
"39","Duisburg",0,0,0,0,0
"40","Dusseldorf",0,0,0,0,0
"41","Eindhoven",2,2,2,2,2
"42","Essen",5,3,2,2,1
"43","Florence",4,4,3,3,2
"44","Frankfurt",5,4,4,3,3
"45","Freiburg",5,5,5,5,4
"46","Fresno",1,1,1,0,0
"47","Fukuyama",0,0,0,0,0
"48","Genova",0,0,0,0,0
"49","Ghent",4,4,4,4,1
"50","Gothenburg",5,4,3,2,0
"51","Graz",1,1,1,0,0
"52","Grenoble",6,4,2,2,2
"53","Hague",5,3,2,2,2
"54","Hamburg",40,29,22,19,13
"55","Hanover",2,2,1,1,1
"56","Harrisburg",1,1,0,0,0
"57","Helsinki",16,13,13,12,9
"58","Hiroshima",3,3,3,2,2
"59","Houston",11,11,10,8,5
"60","Indianapolis",11,10,9,7,6
"61","Irapuato",0,0,0,0,0
"62","Jacksonville",4,4,3,2,0
"63","Karlsruhe",9,6,6,5,3
"64","Kofu",0,0,0,0,0
"65","Kurashiki",0,0,0,0,0
"66","Leipzig",7,4,3,1,1
"67","Liege",0,0,0,0,0
"68","Lille",3,1,1,1,1
"69","Linz",5,5,4,4,2
"70","Lisbon",11,6,5,5,2
"71","Louisville",7,6,6,5,5
"72","Lyon",19,12,11,8,7
"73","Madison",21,19,16,15,13
"74","Madrid",36,26,22,19,16
"75","Malaga",1,1,1,1,0
"76","Malmo",0,0,0,0,0
"77","Mannheim",2,2,2,2,2
"78","Marseille",2,1,1,1,0
"79","Memphis",2,2,2,2,2
"80","Miami",12,8,7,6,5
"81","Milan",13,12,10,8,5
"82","Milwaukee",3,3,3,2,1
"83","Minneapolis",16,11,11,10,9
"84","Mito",0,0,0,0,0
"85","Monterrey",1,1,1,1,0
"86","Montpellier",5,3,3,3,3
"87","Munich",34,26,21,19,11
"88","Nagoya",5,4,4,3,3
"89","Nantes",9,8,6,4,4
"90","Naples",0,0,0,0,0
"91","Nashville",23,21,18,15,14
"92","Nice",1,0,0,0,0
"93","Numazu",0,0,0,0,0
"94","Okayama",0,0,0,0,0
"95","Omaha",11,7,7,6,2
"96","Orlando",14,11,10,10,10
"97","Osaka",16,11,9,8,7
"98","Oslo",27,25,22,19,15
"99","Palermo",0,0,0,0,0
"100","Palmas",1,1,1,0,0
"101","Paris",134,104,82,66,47
"102","Philadelphia",39,30,21,17,14
"103","Phoenix",12,10,9,9,6
"104","Pittsburgh",26,23,18,13,10
"105","Portland",141,116,98,89,70
"106","Porto",21,15,14,10,6
"107","Providence",8,7,5,4,4
"108","Raleigh",10,7,7,4,4
"109","Rennes",7,4,4,3,3
"110","Richmond",11,9,7,6,5
"111","Rome",13,12,10,8,7
"112","Rotterdam",4,4,3,3,2
"113","Rouen",2,2,2,2,1
"114","Seattle",153,127,109,92,65
"115","Seville",1,1,0,0,0
"116","Stockholm",70,55,45,33,21
"117","Strasbourg",1,1,1,1,1
"118","Stuttgart",8,8,5,4,2
"119","Takamatsu",0,0,0,0,0
"120","Tallinn",3,2,2,2,2
"121","Tampa",8,6,5,5,5
"122","Tokyo",287,237,185,155,108
"123","Toledo",0,0,0,0,0
"124","Toulon",0,0,0,0,0
"125","Toulouse",4,3,3,2,1
"126","Tucson",2,2,1,1,0
"127","Tulsa",3,2,2,2,1
"128","Turin",1,0,0,0,0
"129","Utrecht",5,5,3,3,1
"130","Valencia",3,2,1,0,0
"131","Venice",1,1,1,1,1
"132","Vienna",28,23,16,15,13
"133","Washington",75,59,52,44,31
"134","Wichita",2,2,2,2,1
"135","Zaragoza",4,3,2,2,2
